A 16925871
C 2840004
D 11195892
E 13782186
F 7926729
G 14498812
H 4668453
I 12119669
K 11895765
L 19785341
M 4947341
N 8321193
P 9716574
Q 8060528
R 11337932
S 13620356
T 10982519
V 14060235
W 2259936
Y 5986753
X 8001
Z 249
B 276
U 329
O 29
